Code Domaine,Domaine,Code zone (M49),Zone,Code de devise ISO (FAO),Devise,Code Élément,Élément,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PE","Taux de change","643","Fédération de Russie","RUB","Russian Ruble","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","58.34280119","X","Ciffre de sources internationales"
"PE","Taux de change","242","Fidji","FJD","Fiji Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2.06687530381454","X","Ciffre de sources internationales"
"PE","Taux de change","242","Fidji","FJD","Fiji Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2.066875304","X","Ciffre de sources internationales"
"PE","Taux de change","246","Finlande","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.8852055083","X","Ciffre de sources internationales"
"PE","Taux de change","246","Finlande","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","250","France","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","250","France","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","266","Gabon","XAF","CFA Franc BEAC","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","580.656749587858","X","Ciffre de sources internationales"
"PE","Taux de change","266","Gabon","XAF","CFA Franc BEAC","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","580.6567496","X","Ciffre de sources internationales"
"PE","Taux de change","270","Gambie","GMD","Dalasi","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","46.6089094621101","X","Ciffre de sources internationales"
"PE","Taux de change","270","Gambie","GMD","Dalasi","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","46.60752712","X","Ciffre de sources internationales"
"PE","Taux de change","268","Géorgie","GEL","Lari","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2.50954166666667","X","Ciffre de sources internationales"
"PE","Taux de change","268","Géorgie","GEL","Lari","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2.509541667","X","Ciffre de sources internationales"
"PE","Taux de change","288","Ghana","GHS","Ghana Cedi","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","4.35053333333333","X","Ciffre de sources internationales"
"PE","Taux de change","288","Ghana","GHS","Ghana Cedi","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","4.350741667","X","Ciffre de sources internationales"
